Abelia,6.0-8.0,,
Abutilon,5.5-6.5,,
Acacia,6.0-8.0,,
Acanthus,6.0-7.0,,
Aconitum,5.0-6.0,,
Acorus,5.0-6.5,,
Adonis,6.0-8.0,,
Aechmea,5.0-5.5,,
African Violet,6.0-7.0,,
Ageratum,6.0-7.5,,
Ailanthus,6.0-7.5,,
Ajuga,4.0-6.0,,
Althea,6.0-7.5,,
Alyssum,6.0-7.5,,
Amaranthus,6.0-6.5,,
Amaryllis,5.5-6.5,,
Anchusa,6.0-7.5,,
Androsace,5.0-6.0,,
Anemone,6.0-7.5,,
Anthurium,5.0-6.0,,
Anthyllis,5.0-6.0,,
Apostle Plant,5.5-6.5,,
Apple,5.0-6.5,,
Apricot,6.0-7.0,,
Aralia,6.0-7.5,,
Arbutus,4.0-6.0,,
Ardisia,6.0-8.0,,
Arenaria,6.0-8.0,,
Aristia,6.0-7.5,,
Armeris,6.0-7.5,,
Arnice,5.0-6.5,,
Arrowhead,5.0-6.0,,
Artichoke,6.5-7.5,,
Asparagus,6.0-8.0,,
Asparagus Fern,6.0-8.0,,
Asperula,6.0-8.0,,
Asphodoline,6.0-8.0,,
Aster,5.5-7.5,,
Astilbe,6.0-8.0,,
Aubretia,6.0-7.5,,
Avens,6.0-7.5,,
Avocado,6.0-7.5,,
Azalea,4.5-6.0,,
Azalea,4.5-6.0,,
Baby・s Breath,6.0-7.5,,
Baby・s Tears,5.0-6.0,,
Banana,5.0-7.0,,
Basil,5.5-6.5,,
Bean (Runner, Broad, French),6.0-7.5
Beauty Bush,6.0-7.5,,
Beetroot,6.0-7.5,,
Begonia,5.5-7.0,,
Bergenia,6.0-7.5,,
Bird of Paradise,6.0-6.5,,
Bishop・s Cap,5.0-6.0,,
Blackberry,5.0-6.0,,
Black-eyed Susan,5.5-7.5,,
Bleeding Heart,6.0-7.5,,
Blood Leaf,5.5-6.5,,
Haemanthus,5.5-6.5,,
Bluebell,6.0-7.5,,
Bottle Brush,6.0-7.5,,
Bougainvillea,5.5-7.5,,
Boxwood/Buxus,6.0-7.5,,
Broccoli,6.0-7.0,,
Bromeliads,5.0-6.0,,
Broom,5.0-6.0,,
Brussels Sprouts,6.0-7.5,,
Buddleia,6.0-7.0,,
Buphthaium,6.0-8.0,,
Butterfly Flower,6.0-7.5,,
Cabbage,6.0-7.5,,
Cactus,4.5-6.0,,
Calabrese,6.5-7.5,,
Caladium,6.0-7.5,,
Calceolaria,6.0-7.0,,
Calendula,5.5-7.0,,
Calla lily,6.0-7.0,,
Camassia,6.0-8.0,,
Camellia,4.5-5.5,,
Candytuft,6.0-7.5,,
Canna,6.0-8.0,,
Canterbury Bells,6.0-7.5,,
Capsicum,5.0-6.5,,
Pepper,5.0-6.5,,
Cardinal Flower,5.0-6.0,,
Carnation,6.0-7.5,,
Carrot,5.5-7.0,,
Cast Iron Plant,4.0-5.5,,
Castor Oil Plant,5.5-6.5,,
Catalpa,6.0-8.0,,
Cauliflower,5.5-7.5,,
Celery,6.0-7.0,,
Celosia,6.0-7.0,,
Centaurea,5.0-6.5,,
Century Plant,5.0-6.5,,
Cerastium,6.0-7.0,,
Cherry,6.0-7.5,,
Chicory,5.0-6.5,,
Chinese Cabbage,6.0-7.5,,
Chinese Evergreen,5.0-6.0,,
Chinese Lantern,6.0-7.5,,
Chinese Primrose,6.0-7.5,,
Chives,6.0-7.0,,
Christmas Cactus,5.0-6.5,,
Chrysanthemum,6.0-7.0,,
Cineraria,5.5-7.0,,
Cissus,6.0-7.5,,
Cistus,6.0-7.5,,
Clarkia,6.0-6.5,,
Cleanthus,6.0-7.5,,
Clematis,5.5-7.0,,
Clerodendrum,5.0-6.0,,
Clivia,5.5-6.5,,
Cockscomb,6.0-7.5,,
Coffee Plant,5.0-6.0,,
Colchicum,5.5-6.5,,
Coleus,6.0-7.0,,
Columbine,6.0-7.0,,
Columnea,4.5-5.5,,
Convolvulus,6.0-8.0,,
Coral Berry,5.5-7.5,,
Coreopsis,5.0-6.0,,
Corn-Sweet,5.5-7.5,,
Coronilla,6.5-7.5,,
Corydalis,6.0-8.0,,
Cosmos,5.0-8.0,,
Cotoneaster,6.0-8.0,,
Courgettes,5.5-7.0,,
Crab Apple,6.0-7.5,,
Cranberry,5.5-6.5,,
Crassula,5.0-6.0,,
Creeping Fig,5.0-6.0,,
Cress,6.0-7.0,,
Crocus,6.0-8.0,,
Croton,5.0-6.0,,
Crown of Thorns,6.0-7.5,,
Cucumber,5.5-7.0,,
Cuphea,6.0-7.5,,
Currant-Black,6.0-8.0,,
Currant-Red,5.5-7.0,,
Currant-White,6.0-8.0,,
Cyclamen.,6.0-7.0,,
Cynoglossum,6.0-7.5,,
Cyperus,5.0-7.5,,
Daffodii,6.0-6.5,,
Dahlia,6.0-7.5,,
Damson,6.0-7.5,,
Daphne,6.5-7.5,,
Day Lily,6.0-8.0,,
Delphinium,6.0-7.5,,
Deutzia,6.0-7.5,,
Devil・s Ivy,5.0-6.0,,
Dianthus,6.0-7.5,,
Dielfenbachia,5.0-6.0,,
Dipladenla,6.0-7.5,,
Dizygotheca,6.0-7.5,,
Dogwood,5.0-7.0,,
Dracaena,5.0-6.0,,
Dragon Tree,5.0-7.5,,
Dutchman・s Pipe,6.0-8.0,,
Easter lily,6.0-7.0,,
Edelweiss,6.5-7.5,,
Elaeagnus,5.0-7.5,,
Elephant・s Ear,6.0-7.5,,
English Ivy,6.0-7.5,,
Enkianthus,5.0-6.0,,
Episcia,6.0-7.0,,
Erica,4.5-6.0,,
Eucalyptus,6.0-8.0,,
Euphorbia,6.0-7.0,,
Everlasting,5.0-6.0,,
Fan Iris,6.0-8.0,,
Feijoa,5.0-7.5,,
Fennel,5.0-6.0,,
Fern-Bird・s Nest,5.0-5.5,,
Fern-Boston,5.5-6.5,,
Fern-Button,6.0-8.0,,
Fern-Christmas,6.0-7.5,,
Fern-Cloak,6.0-7.5,,
Fern-Feather,5.5-7.5,,
Fern-Hart・s Tonge,7.0-8.0,,
Fern-Holly,4.5-6.0,,
Fern-Maidenhair,6.0-8.0,,
Fern-Rabbits Foot,6.0-7.5,,
Fern-Spleenwort,6.0-7.5,,
Fig (Ficus),5.0-6.0,,
Firethorn,6.0-8.0,,
Fittonia,5.5-6.5,,
Forget-me-not,6.0-8.0,,
Forsythia,6.0-8.0,,
Foxglove,6.0-7.5,,
Freesia,6.0-7.5,,
French Marigold,5.0-7.5,,
Fritillaria,6.0-7.5,,
Fuchsia,5.5-6.5,,
Gaillardia,6.0-7.5,,
Gardenia,5.0-6.0,,
Garlic,5.5-7.5,,
Gazania,5.5-7.0,,
Genista,6.5-7.5,,
Gentiana,5.0-7.5,,
Geranium,6.0-8.0,,
Geum,6.0-7.5,,
Ginger,6.0-8.0,,
Gladioli,6.0-7.0,,
Globularia,5.5-7.0,,
Gloxinia,5.5-6.5,,
Godetia,6.0-7.5,,
Goldenrod,5.0-7.0,,
Gooseberry,5.0-6.5,,
Gourd,6.0-7.0,,
Grape Hyacinth,6.0-7.5,,
Grape Ivy,5.0-6.5,,
Grapefruit,6.0-7.5,,
Grapevine,6.0-7.0,,
Grass-Bent,5.5-6.5,,
Grass-Clover,6.0-7.0,,
Grass-Fesau,6.0-7.5,,
Grass-Meadow,6.0-7.5,,
Grass-Pampas,6.0-8.0,,
Grass-Rye,6.0-7.0,,
Grevillea,5.5-6.5,,
Gypsophllla,6.0-7.5,,
Hawthorn,6.0-7.0,,
Hazelnut,6.0-7.0,,
Hedera (Ivy),6.0-7.5,,
Heliotropium,6.0-8.0,,
Hellanthus,5.0-7.0,,
Helleborus,6.0-7.5,,
Hens & Chickens,6.0-7.0,,
Herringbone Plant,5.0-6.0,,
Hibiscus,6.0-8.0,,
Holly,5.0-6.5,,
Hollyhock,6.0-8.0,,
Honeysuckle,6.0-7.5,,
Hop,6.0-7.5,,
Horseradish,6.0-7.0,,
Hoya,5.0-6.5,,
Hyacinth,6.5-7.5,,
Hydrangea (Blue),4.0-5.0,,
Hydrangea (Pink),6.0-7.0,,
Hydrangea (White),6.5-8.0,,
Hyperitum,5.5-7.0,,
Ice Plant,6.0-8.0,,
Ii Never Never Plant,5.0-6.0,,
Impatiens (Busy Lillie),5.5-6.5,,
Inch Plant,5.0-6.0,,
Indigofera,6.0-7.5,,
Iresine,5.0-6.5,,
Iris,5.0-6.5,,
Ivy,6.0-8.0,,
Ivy Tree,6.0-7.0,,
Jacaranda,6.0-7.5,,
Japanese Sedge,6.0-8.0,,
Jasminum,5.5-7.0,,
Jerusalem Cherry,5.5-6.5,,
Jessamine,5.0-6.0,,
Juniper,5.0-6.5,,
Kaffir,6.0-7.5,,
Kalanchoe,6.0-7.5,,
Kale,6.0-7.5,,
Kalmia,4.5-5.0,,
Kangaroo Thorn,6.0-8.0,,
Kangaroo Vine,5.0-6.5,,
Kerria,6.0-7.0,,
Kohlrabi,6.0-7.5,,
Laburnum,6.0-7.0,,
Lace Flower,6.0-7.5,,
Lantana,5.5-7.0,,
Laurel,4.5-6.0,,
Laurus (Bay Tree),5.0-6.0,,
Lavender,6.5-7.5,,
Leek,6.0-8.0,,
Lemon,6.0-7.0,,
Lemon Plant,6.0-7.5,,
Lentil,5.5-7.0,,
Lettuce,6.0-7.0,,
Liatris,5.5-7.5,,
Ligustrum,5.0-7.5,,
Lilac,6.0-7.5,,
Lily of the Valley,4.5-6.0,,
Lithospermum,5.0-6.5,,
Lobelia,6.0-7.5,,
Lupinus,5.5-7.0,,
Lychee,6.0-7.0,,
Magnolia,5.0-6.0,,
Mahonia,6.0-7.0,,
Mango,5.0-6.0,,
Marguerite,6.0-7.5,,
Marigold,5.5-7.0,,
Marjoram,6.0-8.0,,
Marrow,6.0-7.5,,
Melon,5.5-6.5,,
Millet,6.0-6.5,,
Mimosa,5.0-7.0,,
Mind Your Own Business,5.0-5.5,,
Mint,7.0-8.0,,
Mollnia,4.0-5.0,,
Monstera (Swiss Cheese Plant),5.0-6.0,,
Moraea,5.5-6.5,,
Morning Glory,6.0-7.5,,
Moss,6.0-8.0,,
Sphagnum moss,3.5-5.0,,
Sphagnum,3.5-5.0,,
Mother-of-Thousands,5.0-6.0,,
Mulberry,6.0-7.5,,
Mushroom,6.5-7.5,,
Mustard,6.0-7.5,,
Myosotis,6.0-7.0,,
Myrtle,6.0-8.0,,
Narcissus,6.0-7.5,,
Nasturtium,5.5-7.5,,
Nectarine,6.0-7.5,,
Nephthytis,4.5-5.5,,
Nicodernia (Indoor Oak),6.0-8.0,,
Nicotiana,5.5-6.5,,
Nicotlana,5.5-6.5,,
Norfolk Island Pine,5.0-6.0,,
Oleander,6.0-7.5,,
Olive,5.5-6.5,,
Onion,6.0-7.0,,
OpIisemenus,5.0-6.0,,
Orange Plant,6.0-7.5,,
Orchid,4.5-5.5,,
Oxalis,6.0-8.0,,
Pachysandra,5.0-8.0,,
Paeonia,6.0-7.5,,
Painted Lady,6.0-7.5,,
Palms,6.0-7.5,,
Pandanus,5.0-6.0,,
Pansy,5.5-7.0,,
Papaw,6.0-7.5,,
Paprika,7.0-8.5,,
Parsley,5.0-7.0,,
Pasque Flower,5.0-6.0,,
Passion Flower,6.0-8.0,,
Patient Lucy,5.5-6.5,,
Paulownia,6.0-8.0,,
Pea,6.0-7.5,,
Peach,6.0-7.5,,
Peacock Plant,5.0-6.0,,
Peanut,5.0-6.5,,
Pear,6.0-7.5,,
Pea-Sweet,6.0-7.5,,
Pelagoniums,6.0-7.5,,
Pellionia,5.0-6.0,,
Penstemon,5.5-7.0,,
Peony,6.0-7.5,,
Peperomia,5.0-6.0,,
Pepper,5.5-7.0,,
Peppermint,6.0-7.5,,
Periwinkle,6.0-7.5,,
Petunia,6.0-7.5,,
Philodendron,5.0-6.0,,
Phlox,5.0-6.5,,
Pilea,6.0-8.0,,
Pineapple,5.0-6.0,,
Pinks,6.0-7.5,,
Pistacio,5.0-6.0,,
Pitcherplant,4.0-5.5,,
Pittosporum,5.5-6.5,,
Plantain,6.0-7.5,,
Plum,6.0-7.5,,
Plumbago,5.5-6.5,,
Podocarpus,5.0-6.5,,
Poinsettia,6.0-7.5,,
Poligonum,6.0-7.5,,
Polyanthus,6.0-7.5,,
Polyscias,6.0-7.5,,
Pomegranate,5.5-6.5,,
Poppy,6.0-7.5,,
Portulaca,5.5-7.5,,
Potato,4.5-6.0,,
Potato-Sweet,5.5-6.0,,
Pothos,5.0-6.0,,
Prayer Plant,5.0-6.0,,
Primrose,5.5-6.5,,
Primula,6.0-7.5,,
Privet,6.0-7.0,,
Prunella,6.0-7.5,,
Prunus,6.5-7.5,,
Pumpkin,5.5-7.5,,
Puncia,5.5-6.5,,
Pyracantha,5.0-6.0,,
Pyrethrum,6.0-7.5,,
Quince,6.0-7.5,,
Radish,6.0-7.0,,
Raspberry,5.0-6.5,,
Rhododendron,4.5-6.0,,
Rhubarb,5.5-7.0,,
Rice,5.0-6.5,,
Rose-Climbing,6.0-7.0,,
Rose-Hybrid Tea,5.5-7.0,,
Rose-RamblIng,5.5-7.0,,
Rosemary,5.0-6.0,,
Rubber Plant,5.0-6.0,,
Sage,5.5-6.5,,
Salvia,6.0-7.5,,
Sansevieria,4.5-7.0,,
Santpaulia,6.0-7.0,,
Saxifraga,6.0-8.0,,
Scabiosa,5.0-7.5,,
SchizanthUs,6.0-7.0,,
Scilla,6.0-8.0,,
Sea Grape,5.0-6.5,,
Sedum,6.0-8.0,,
Selaginella,6.0-7.0,,
Senecio,6.0-7.0,,
Shallot,5.5-7.0,,
Shrimp Plant,5.5-6.5,,
Snapdragon,5.5-7.0,,
Snowdrop,6.0-8.0,,
Soapwort,6.0-7.5,,
Sorghum,5.5-75,,
Soyabean,5.5-6.5,,
Spanish Bayonet,5.5-7.0,,
Spearmint,5.5-7.5,,
Speedwell,5.5-6.5,,
Spider Plant,6.0-7.5,,
Spinach,6.0-7.5,,
Spirea,6.0-7.5,,
Spruce,4.0-5.0,,
Star of Bethlehem,6.0-8.0,,
Stock,6.0-7.5,,
Stonecrop,6.5-7.5,,
Strawberry,5.0-7.5,,
Succulents,5.0-6.5,,
Sumach,5.0-6.5,,
Sunflower,6.0-7.5,,
Swede,5.5-7.0,,
Sweet William,6.0-7.5,,
Syringa/Lilac,6.0-8.0,,
Tamarix,6.5-8.0,,
Thunbergia,5.5-7.5,,
Thyme,5.5-7.0,,
Tobacco,5.5-7.5,,
Tomato,5.5-7.5,,
Trillium,5.0-6.5,,
Tulip,6.0-7.0,,
Turk・s Cap,6.0-7.0,,
Turnip,5.5-7.0,,
Umbrella Tree,5.0-7.5,,
Velvet Plant,5.5-6.5,,
Venus Flytrap,4.0-5.0,,
Verbena,6.0-8.0,,
Viburnum,5.0-7.5,,
Vinca,6.0-7.5,,
Viola,5.5-6.5,,
Violet,5.0-7.5,,
Violet Flame,6.0-7.0,,
Virginia Creeper,5.0-7.5,,
Wallflower,5.5-7.5,,
Wandering Jew,5.0-6.0,,
Water Cress,6.0-8.0,,
Water Lily,5.5-6.5,,
Watermelon,5.5-6.5,,
Weeping Fig,5.0-6.0,,
Weigela,6.0-7.0,,
Winter Creeper,5.5-7.0,,
Wisteria,6.0-8.0,,
Yucca,6.0-8.0,,
Zebra Plant,5.0-6.0,,
Zinnia,5.5-7.5,,
sweet osmanthus,5.5-6.5,,
queen's bird-of-paradise flower,6.0-7.0
