Araucaria heterophylla,10-16,¢J,7-13,¢J
A.excelsa,10-16,¢J,7-13,¢J
Aspidistra elatior,10-16,¢J,7-13,¢J
Camellia spp.,10-16,¢J,7-13,¢J
Chrysanthemum morifolium,10-16,¢J,7-13,¢J
Citrus spp.,10-16,¢J,7-13,¢J
Euonymous japonica,10-16,¢J,7-13,¢J
Exacum affine,10-16,¢J,7-13,¢J
Fatsia japonica,10-16,¢J,7-13,¢J
Aralia sieboldil,10-16,¢J,7-13,¢J
A japonica,10-16,¢J,7-13,¢J
Ficus repens var. pumila,10-16,¢J,7-13,¢J
Hedera helix,10-16,¢J,7-13,¢J
Hyacinthus orentalis,10-16,¢J,7-13,¢J
Hydrangea macrophylla,10-16,¢J,7-13,¢J
Jasminumspp.,10-16,¢J,7-13,¢J
Lilium longilorum,10-16,¢J,7-13,¢J
Narcissus spp.,10-16,¢J,7-13,¢J
Pittosporum tobira,10-16,¢J,7-13,¢J
Primula spp.,10-16,¢J,7-13,¢J
Rhododendron spp.,10-16,¢J,7-13,¢J
Rosa chinensis var. mimia,10-16,¢J,7-13,¢J
Solanum pseudocapsicum,10-16,¢J,7-13,¢J
Tradescantia albiflora,10-16,¢J,7-13,¢J
Tulipa spp.,10-16,¢J,7-13,¢J
Various genera,10-16,¢J,7-13,¢J
Zantedeschia spp.,10-16,¢J,7-13,¢J
Zebrina pendula,10-16,¢J,7-13,¢J
Norfolk Island pine,10-16,¢J,7-13,¢J
cast-iron plant,10-16,¢J,7-13,¢J
camellia,10-16,¢J,7-13,¢J
chrysanthemum,10-16,¢J,7-13,¢J
citrus,10-16,¢J,7-13,¢J
grapefruit,10-16,¢J,7-13,¢J
lemon,10-16,¢J,7-13,¢J
orange,10-16,¢J,7-13,¢J
spindle tree,10-16,¢J,7-13,¢J
Persian violet,10-16,¢J,7-13,¢J
Japanese aralia,10-16,¢J,7-13,¢J
creeping fig,10-16,¢J,7-13,¢J
ivyt,10-16,¢J,7-13,¢J
hyacinth,10-16,¢J,7-13,¢J
hydrangea,10-16,¢J,7-13,¢J
jasmine,10-16,¢J,7-13,¢J
Easter lilyt,10-16,¢J,7-13,¢J
daffodil,10-16,¢J,7-13,¢J
mock oranget,10-16,¢J,7-13,¢J
primrose,10-16,¢J,7-13,¢J
azalea,10-16,¢J,7-13,¢J
miniature roset,10-16,¢J,7-13,¢J
Jerusalem cherry,10-16,¢J,7-13,¢J
wandering Jewf,10-16,¢J,7-13,¢J
tulip,10-16,¢J,7-13,¢J
cacti and succulents,10-16,¢J,7-13,¢J
calla lily,10-16,¢J,7-13,¢J
wandering Jewt,10-16,¢J,7-13,¢J
Aechmea spp.,16-18,¢J,13-16,¢J
Asparagus spp.,16-18,¢J,13-16,¢J
Aspidistra elatior,16-18,¢J,13-16,¢J
Asplenium nidus,16-18,¢J,13-16,¢J
Begonia spp.,16-18,¢J,13-16,¢J
Browallia spp.,16-18,¢J,13-16,¢J
Cissus antartica,16-18,¢J,13-16,¢J
Citrus spp.,16-18,¢J,13-16,¢J
Coleus hybridus,16-18,¢J,13-16,¢J
bromeliads,16-18,¢J,13-16,¢J
asparagus ferns,16-18,¢J,13-16,¢J
cast-iron plant,16-18,¢J,13-16,¢J
bird's nest fern,16-18,¢J,13-16,¢J
begonia,16-18,¢J,13-16,¢J
bush violet,16-18,¢J,13-16,¢J
kangaroo vine,16-18,¢J,13-16,¢J
citrus,16-18,¢J,13-16,¢J
coleus,16-18,¢J,13-16,¢J
Cryptanthusspp.,16-18,¢J,13-16,¢J
Dracaena surculosa,16-18,¢J,13-16,¢J
Euphorbia mili,16-18,¢J,13-16,¢J
Gynura aurantiaca,16-18,¢J,13-16,¢J
Hedera helix,16-18,¢J,13-16,¢J
Hibiscus rosa-sinensis,16-18,¢J,13-16,¢J
Hippeastrum vittatum,16-18,¢J,13-16,¢J
Hoya carnosa,16-18,¢J,13-16,¢J
Kalanchoe tomentosa,16-18,¢J,13-16,¢J
Lilium longilorum,16-18,¢J,13-16,¢J
Oxalis spp.,16-18,¢J,13-16,¢J
Peperomia spp.,16-18,¢J,13-16,¢J
Persea spp.,16-18,¢J,13-16,¢J
Pilea cadierei,16-18,¢J,13-16,¢J
Pilea microphylla,16-18,¢J,13-16,¢J
Pilea nummularifolia,16-18,¢J,13-16,¢J
Platycerium spp.,16-18,¢J,13-16,¢J
Podocarpus macrophill us,16-18,¢J,13-16,¢J
Sansevieria trifasciata,16-18,¢J,13-16,¢J
Saxifraga sarmentosa,16-18,¢J,13-16,¢J
Scheflera actinophylla,16-18,¢J,13-16,¢J
Brassia actinophylla,16-18,¢J,13-16,¢J
Schlumbergera brdgesii,16-18,¢J,13-16,¢J
Zygocactus truncatus,16-18,¢J,13-16,¢J
Senecio mikanioides,16-18,¢J,13-16,¢J
Soleirolia soleirolii,16-18,¢J,13-16,¢J
Tolmiea menziesii,16-18,¢J,13-16,¢J
Trifolium repensminus,16-18,¢J,13-16,¢J
Various genera,16-18,¢J,13-16,¢J
dwarf bromeliad,16-18,¢J,13-16,¢J
gold-dust plant,16-18,¢J,13-16,¢J
crown-of-thorns,16-18,¢J,13-16,¢J
purple passion plant,16-18,¢J,13-16,¢J
purple velvet plant,16-18,¢J,13-16,¢J
English ivyt,16-18,¢J,13-16,¢J
hibiscus,16-18,¢J,13-16,¢J
amaryllis,16-18,¢J,13-16,¢J
wax plant,16-18,¢J,13-16,¢J
Hindu,16-18,¢J,13-16,¢J
rope plant,16-18,¢J,13-16,¢J
panda plant,16-18,¢J,13-16,¢J
Easter lilyt,16-18,¢J,13-16,¢J
shamrock plant,16-18,¢J,13-16,¢J
peperomia,16-18,¢J,13-16,¢J
avocado,16-18,¢J,13-16,¢J
aluminum plant,16-18,¢J,13-16,¢J
artillery plant,16-18,¢J,13-16,¢J
creeping charley,16-18,¢J,13-16,¢J
staghorn fern,16-18,¢J,13-16,¢J
podocarpus,16-18,¢J,13-16,¢J
snake plant,16-18,¢J,13-16,¢J
strawberry geranium,16-18,¢J,13-16,¢J
strawberry begonia,16-18,¢J,13-16,¢J
schefflera,16-18,¢J,13-16,¢J
Christmas cactus,16-18,¢J,13-16,¢J
German ivy,16-18,¢J,13-16,¢J
baby's tears,16-18,¢J,13-16,¢J
piggyback plant,16-18,¢J,13-16,¢J
shamrock plant,16-18,¢J,13-16,¢J
cacti and succulents,16-18,¢J,13-16,¢J
palms,16-18,¢J,13-16,¢J
Acalypha hispida,21-27,¢J,18-21,¢J
Aechmea spp.,21-27,¢J,18-21,¢J
Aglaonema modestum,21-27,¢J,18-21,¢J
Caladium spp.,21-27,¢J,18-21,¢J
Calathea makoyana,21-27,¢J,18-21,¢J
Cissus antartica,21-27,¢J,18-21,¢J
chenille plant,21-27,¢J,18-21,¢J
bromeliads,21-27,¢J,18-21,¢J
Chinese evergreen,21-27,¢J,18-21,¢J
caladium,21-27,¢J,18-21,¢J
peacock plant,21-27,¢J,18-21,¢J
kangaroo vine,21-27,¢J,18-21,¢J
Codiaeum variegatum,21-27,¢J,18-21,¢J
Cordyline spp.,21-27,¢J,18-21,¢J
Cryptanthusspp.,21-27,¢J,18-21,¢J
Dizygotheca elegatissima,21-27,¢J,18-21,¢J
Dracena spp.,21-27,¢J,18-21,¢J
Echeveria spp.,21-27,¢J,18-21,¢J
Epipremnum aureum,21-27,¢J,18-21,¢J
Episcia spp.,21-27,¢J,18-21,¢J
Euphorbia milli,21-27,¢J,18-21,¢J
Ficus spp.,21-27,¢J,18-21,¢J
Gynura aurantiaca,21-27,¢J,18-21,¢J
Impatiens spp.,21-27,¢J,18-21,¢J
croton,21-27,¢J,18-21,¢J
"Cordyline, ti plant",21-27,¢J,18-21,¢J
dwarf bromeliad,21-27,¢J,18-21,¢J
false aralia,21-27,¢J,18-21,¢J
dracaena,21-27,¢J,18-21,¢J
hen and chicks,21-27,¢J,18-21,¢J
pothos,21-27,¢J,18-21,¢J
flame violet,21-27,¢J,18-21,¢J
crown-of-thorns,21-27,¢J,18-21,¢J
ficus,21-27,¢J,18-21,¢J
velvet plant,21-27,¢J,18-21,¢J
impatiens,21-27,¢J,18-21,¢J
Maranta leuconeura,21-27,¢J,18-21,¢J
Mimosa pudica,21-27,¢J,18-21,¢J
Monstera spp.,21-27,¢J,18-21,¢J
Pandanus veitchii,21-27,¢J,18-21,¢J
Pelargonium spp.,21-27,¢J,18-21,¢J
Philodendron spp.,21-27,¢J,18-21,¢J
Platycerum spp.,21-27,¢J,18-21,¢J
Saintpaulia spp.,21-27,¢J,18-21,¢J
Sansevieria trifasciata,21-27,¢J,18-21,¢J
Various genera,21-27,¢J,18-21,¢J
Various genera,21-27,¢J,18-21,¢J
prayer plant,21-27,¢J,18-21,¢J
sensitive plant,21-27,¢J,18-21,¢J
swiss cheese plant,21-27,¢J,18-21,¢J
split-leaf philodendron,21-27,¢J,18-21,¢J
screw pine,21-27,¢J,18-21,¢J
geranium,21-27,¢J,18-21,¢J
philodendron,21-27,¢J,18-21,¢J
staghorn fern,21-27,¢J,18-21,¢J
African violets,21-27,¢J,18-21,¢J
snake plant,21-27,¢J,18-21,¢J
cacti and succulents,21-27,¢J,18-21,¢J
palms,21-27,¢J,18-21,¢J
Zinnia,15-30,¢J,,
Sunflower,15-30,¢J,,
Rose,18-25,¢J,,
Cactus,20-30,¢J,,
SessileAlternanthera,15-25,¢J,,
Bachelor'sButton,20-25,¢J,,
Humble-plant,15-20,¢J,,
Wheat,20,¢J,,
Triticum aestiyum,20,¢J,,
Barley,20,¢J,,
Hordeum vulgare,20,¢J,,
Oats,20-24,¢J,,
Arena satina,20-24,¢J,,
Rapeseed,15-20,¢J,,
Brassica napus,15-20,¢J,,
Alfalfa,25,¢J,,
Medicago sativa,25,¢J,,
Birdsfoot Trefoil,26,¢J,,
Lotus corniculatus,26,¢J,,
Red Cloner,25,¢J,,
Trifelium pratense,25,¢J,,
Sweet Clover,18-25,¢J,,
Melilotus offcinalis,18-25,¢J,,
White Clover,18-20,¢J,,
Trifolium repens,18-20,¢J,,
Fescue Grass,13-18,¢J,,
Festuca spp.,13-18,¢J,,
Orchardprass,18-20,¢J,,
Dactylis glomerata,18-20,¢J,,
Timothy,18-22,¢J,,
Phleum pratense,18-22,¢J,,
Basil,21-24,¢J,,
Ocimum basilicum,21-24,¢J,,
Mint,20-24,¢J,,
Mentha spicata,20-24,¢J,,
Parsley,10-30,¢J,,
Petroselinum crispum,10-30,¢J,,
Lovage,21,¢J,,
Levisticum offcinale,21,¢J,,
Summer Savory,20,¢J,,
Satureja hortensis,20,¢J,,
Chives,21,¢J,,
Allum schoenoprasum,21,¢J,,
Fenugreek,21,¢J,,
Trigonella foenum-graec,21,¢J,,
Bean,16-30,¢J,,
Beet,10-30,¢J,,
Cabbage,7-35,¢J,,
Carrct,7-30,¢J,,
Caulifloner,7-30,¢J,,
Celery,15-21,¢J,,
Comn,16-32,¢J,,
Cucumber,16-35,¢J,,
Aubergine,24-32,¢J,,
Lettuce,4-27,¢J,,
Onion,10-35,¢J,,
Parsnip,10-21,¢J,,
Pea,4-24,¢J,,
Pepper,18-35,¢J,,
Pumpkin,21-32,¢J,,
Radish,7-32,¢J,,
Rutabaga,6-30,¢J,,
Spimach,7-24,¢J,,
Squash,21-35,¢J,,
Tomato,10-30,¢J,,
Swiss Chard,20-23,¢J,,
Turnip/ Rutabaga,18-21,¢J,,
